		a	i	u	e	o	z	k	j	d	l	q	2	7	3	0	A	I	U	E	O	s	9	8	r	p	Z	K	J	D	L	S	)	(	R	P	n
		あ	い	う	え	お											ぁ	ぃ	ぅ	ぇ	ぉ																ん
l		あ	い	う	え	お	あん	いん	うん	えん	おん	あい	あう	うう	えい	おう	あー	いー	うー	えー	おー	あっ	いっ	うっ	えっ	おっ	あく	いく	うく	えく	おく	あつ	いつ	うつ	えつ	おつ	
⇧		ぁ	ぃ	ぅ	ぇ	ぉ																															
L		ぁ	ぃ	ぅ	ぇ	ぉ	ぁん	ぃん	ぅん	ぇん	ぉん	ぁい	ぁう	ぅう	ぇい	ぉう	ぁー	ぃー	ぅー	ぇー	ぉー	ぁっ	ぃっ	ぅっ	ぇっ	ぉっ	ぁく	ぃく	ぅく	ぇく	ぉく	ぁつ	ぃつ	ぅつ	ぇつ	ぉつ	
k		か	き	く	け	こ	かん	きん	くん	けん	こん	かい	かう	くう	けい	こう	かー	きー	くー	けー	こー	かっ	きっ	くっ	けっ	こっ	かく	きく	くく	けく	こく	かつ	きつ	くつ	けつ	こつ	
K		ヵ			ヶ		ヵん			ヶん		ヵい	ヵう		ヶい		ヵー			ヶー		ヵっ			ヶっ		ヵく			ヶく		ヵつ			ヶつ		
Lk	ぃん	ヵ			ヶ		ヵん			ヶん		ヵい	ヵう		ヶい		ヵー			ヶー		ヵっ			ヶっ		ヵく			ヶく		ヵつ			ヶつ		
ky		きゃ	きぃ	きゅ	きぇ	きょ	きゃん	きぃん	きゅん	きぇん	きょん	きゃい	きゃう	きゅう	きぇい	きょう	きゃー	きぃー	きゅー	きぇー	きょー	きゃっ	きぃっ	きゅっ	きぇっ	きょっ	きゃく	きぃく	きゅく	きぇく	きょく	きゃつ	きぃつ	きゅつ	きぇつ	きょつ	
kw		くゎ	くぃ	くぅ	くぇ	くぉ	くゎん	くぃん	くぅん	くぇん	くぉん	くゎい	くゎう	くぅう	くぇい	くぉう	くゎー	くぃー	くぅー	くぇー	くぉー	くゎっ	くぃっ	くぅっ	くぇっ	くぉっ	くゎく	くぃく	くぅく	くぇく	くぉく	くゎつ	くぃつ	くぅつ	くぇつ	くぉつ	
g		が	ぎ	ぐ	げ	ご	がん	ぎん	ぐん	げん	ごん	がい	がう	ぐう	げい	ごう	がー	ぎー	ぐー	げー	ごー	がっ	ぎっ	ぐっ	げっ	ごっ	がく	ぎく	ぐく	げく	ごく	がつ	ぎつ	ぐつ	げつ	ごつ	
gy		ぎゃ	ぎぃ	ぎゅ	ぎぇ	ぎょ	ぎゃん	ぎぃん	ぎゅん	ぎぇん	ぎょん	ぎゃい	ぎゃう	ぎゅう	ぎぇい	ぎょう	ぎゃー	ぎぃー	ぎゅー	ぎぇー	ぎょー	ぎゃっ	ぎぃっ	ぎゅっ	ぎぇっ	ぎょっ	ぎゃく	ぎぃく	ぎゅく	ぎぇく	ぎょく	ぎゃつ	ぎぃつ	ぎゅつ	ぎぇつ	ぎょつ	
gw		ぐゎ	ぐぃ	ぐぅ	ぐぇ	ぐぉ	ぐゎん	ぐぃん	ぐぅん	ぐぇん	ぐぉん	ぐゎい	ぐゎう	ぐぅう	ぐぇい	ぐぉう	ぐゎー	ぐぃー	ぐぅー	ぐぇー	ぐぉー	ぐゎっ	ぐぃっ	ぐぅっ	ぐぇっ	ぐぉっ	ぐゎく	ぐぃく	ぐぅく	ぐぇく	ぐぉく	ぐゎつ	ぐぃつ	ぐぅつ	ぐぇつ	ぐぉつ	
s		さ	すぃ	す	せ	そ	さん	すぃん	すん	せん	そん	さい	さう	すう	せい	そう	さー	すぃー	すー	せー	そー	さっ	すぃっ	すっ	せっ	そっ	さく	すぃく	すく	せく	そく	さつ	すぃつ	すつ	せつ	そつ	
sw		すぁ		すぅ	すぇ	すぉ	すぁん		すぅん	すぇん	すぉん	すぁい	すぁう	すぅう	すぇい	すぉう	すぁー		すぅー	すぇー	すぉー	すぁっ		すぅっ	すぇっ	すぉっ	すぁく		すぅく	すぇく	すぉく	すぁつ		すぅつ	すぇつ	すぉつ	
x		しゃ	し	しゅ	しぇ	しょ	しゃん	しん	しゅん	しぇん	しょん	しゃい	しゃう	しゅう	しぇい	しょう	しゃー	しー	しゅー	しぇー	しょー	しゃっ	しっ	しゅっ	しぇっ	しょっ	しゃく	しく	しゅく	しぇく	しょく	しゃつ	しつ	しゅつ	しぇつ	しょつ	
z		ざ	ずぃ	ず	ぜ	ぞ	ざん	ずぃん	ずん	ぜん	ぞん	ざい	ざう	ずう	ぜい	ぞう	ざー	ずぃー	ずー	ぜー	ぞー	ざっ	ずぃっ	ずっ	ぜっ	ぞっ	ざく	ずぃく	ずく	ぜく	ぞく	ざつ	ずぃつ	ずつ	ぜつ	ぞつ	
j		じゃ	じ	じゅ	じぇ	じょ	じゃん	じん	じゅん	じぇん	じょん	じゃい	じゃう	じゅう	じぇい	じょう	じゃー	じー	じゅー	じぇー	じょー	じゃっ	じっ	じゅっ	じぇっ	じょっ	じゃく	じく	じゅく	じぇく	じょく	じゃつ	じつ	じゅつ	じぇつ	じょつ	
zw		ずぁ		ずぅ	ずぇ	ずぉ	ずぁん		ずぅん	ずぇん	ずぉん	ずぁい	ずぁう	ずぅう	ずぇい	ずぉう	ずぁー		ずぅー	ずぇー	ずぉー	ずぁっ		ずぅっ	ずぇっ	ずぉっ	ずぁく		ずぅく	ずぇく	ずぉく	ずぁつ		ずぅつ	ずぇつ	ずぉつ	
t		た	てぃ	とぅ	て	と	たん	てぃん	とぅん	てん	とん	たい	たう	とぅう	てい	とう	たー	てぃー	とぅー	てー	とー	たっ	てぃっ	とぅっ	てっ	とっ	たく	てぃく	とぅく	てく	とく	たつ	てぃつ	とぅつ	てつ	とつ	
